question,answer
"What is the API link to retrieve a token from the NetWitness instance using a username and password","https://<your-netwitness-instance>/rest/api/auth/userpass"
"What is the API link to retrieve an access token from the NetWitness instance using a refresh token","https://<your-netwitness-instance>/rest/api/auth/token"
"What is the API link to get a single incident from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/{id}"
"What is the API link to get incidents by date range from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents"
"What is the API link to get alerts by date range from the NetWitness instance","https://<your-netwitness-instance>/rest/api/alerts"
"What is the API link to update an incident from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/{id}"
"What is the API link to remove an incident from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/{id}"
"What is the API link to add a journal entry","https://<your-netwitness-instance>/rest/api/incidents/{id}/journal"
"What is the API link to get an incident's alerts from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/{id}/alerts"
"What is the API link to fetch incidents based on fields of the incident from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incident/fetch"
"What is the API link to fetch alerts based on the criteria from the NetWitness","https://<your-netwitness-instance>/rest/api/alert/fetch"
"What is the API link to persisting events in an alert from the NetWitness instance","https://<your-netwitness-instance>/rest/api/alerts/persist/{id}"
"What is the API link to suspend persist of events in an alert from the NetWitness instance","https://<your-netwitness-instance>/rest/api/alerts/suspend-persist/{id}"
"What is the API link to persist events in an incident from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/persist/{id}"
"What is the API link to suspend persist of events in an incident from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/suspend-persist/{id}"
"What is the API link to get incident history from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/history/{id}"
"What is the API link to get incident stats from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/stats"
"What is the API link to get incident user stats from the NetWitness instance","https://<your-netwitness-instance>/rest/api/incidents/user-stats"
"What is the API link to get service IDs of all services from the NetWitness instance","https://<your-netwitness-instance>/rest/api/services"
"What is the API link to get list of service IDs by service name from the NetWitness instance","https://<your-netwitness-instance>/rest/api/services?name=<service-name>"
"What is the API link to get hosts from the NetWitness instance","https://<your-netwitness-instance>/rest/api/hosts?serviceId=<service-id>&&pageNumber=0&pageSize=100"
